,Time step,RMSE,Average variance,Number of cells sampled,"Robot (35, 73) distance travelled","Robot (35, 73) idle time","Robot (35, 73) waiting time","Robot (127, 98) distance travelled","Robot (127, 98) idle time","Robot (127, 98) waiting time","Robot (54, 13) distance travelled","Robot (54, 13) idle time","Robot (54, 13) waiting time"
0,1,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0
1,2,17.4168263802914,363.95547790961723,3,0,1,0,0,1,0,0,1,0
2,3,17.4168263802914,363.95547790961723,3,1,1,0,1,1,0,1,1,0
3,4,17.4168263802914,363.95547790961723,3,2,1,0,2,1,0,2,1,0
4,5,17.4168263802914,363.95547790961723,3,3,1,0,3,1,0,3,1,0
5,6,17.4168263802914,363.95547790961723,3,4,1,0,4,1,0,4,1,0
6,7,17.4168263802914,363.95547790961723,3,5,1,0,5,1,0,5,1,0
7,8,17.4168263802914,363.95547790961723,3,6,1,0,6,1,0,6,1,0
8,9,17.4168263802914,363.95547790961723,3,7,1,0,7,1,0,7,1,0
9,10,17.4168263802914,363.95547790961723,3,8,1,0,8,1,0,8,1,0
10,11,17.4168263802914,363.95547790961723,3,9,1,0,9,1,0,9,1,0
11,12,17.4168263802914,363.95547790961723,3,10,1,0,10,1,0,10,1,0
12,13,17.4168263802914,363.95547790961723,3,11,1,0,11,1,0,11,1,0
13,14,17.4168263802914,363.95547790961723,3,12,1,0,12,1,0,12,1,0
14,15,17.4168263802914,363.95547790961723,3,13,1,0,13,1,0,13,1,0
15,16,17.4168263802914,363.95547790961723,3,14,1,0,14,1,0,14,1,0
16,17,17.4168263802914,363.95547790961723,3,15,1,0,15,1,0,15,1,0
17,18,17.4168263802914,363.95547790961723,3,16,1,0,16,1,0,16,1,0
18,19,17.4168263802914,363.95547790961723,3,17,1,0,17,1,0,17,1,0
19,20,17.4168263802914,363.95547790961723,3,18,1,0,18,1,0,18,1,0
20,21,17.4168263802914,363.95547790961723,3,19,1,0,19,1,0,19,1,0
21,22,17.4168263802914,363.95547790961723,3,20,1,0,20,1,0,20,1,0
22,23,17.4168263802914,363.95547790961723,3,21,1,0,21,1,0,21,1,0
23,24,17.4168263802914,363.95547790961723,3,22,1,0,22,1,0,22,1,0
24,25,17.4168263802914,363.95547790961723,3,23,1,0,23,1,0,23,1,0
25,26,17.4168263802914,363.95547790961723,3,24,1,0,24,1,0,24,1,0
26,27,17.4168263802914,363.95547790961723,3,25,1,0,25,1,0,25,1,0
27,28,17.4168263802914,363.95547790961723,3,26,1,0,26,1,0,26,1,0
28,29,17.4168263802914,363.95547790961723,3,27,1,0,27,1,0,27,1,0
29,30,17.4168263802914,363.95547790961723,3,28,1,0,28,1,0,28,1,0
30,31,17.4168263802914,363.95547790961723,3,29,1,0,29,1,0,29,1,0
31,32,17.4168263802914,363.95547790961723,3,30,1,0,30,1,0,30,1,0
32,33,17.4168263802914,363.95547790961723,3,31,1,0,31,1,0,31,1,0
33,34,17.4168263802914,363.95547790961723,3,32,1,0,32,1,0,32,1,0
34,35,17.4168263802914,363.95547790961723,3,33,1,0,33,1,0,33,1,0
35,36,17.4168263802914,363.95547790961723,3,34,1,0,34,1,0,34,1,0
36,37,17.4168263802914,363.95547790961723,3,35,1,0,35,1,0,35,1,0
37,38,17.4168263802914,363.95547790961723,3,36,1,0,36,1,0,36,1,0
38,39,17.4168263802914,363.95547790961723,3,37,1,0,37,1,0,37,1,0
39,40,17.4168263802914,363.95547790961723,3,38,1,0,38,1,0,38,1,0
40,41,15.91200729030621,83.77361345754947,4,39,1,0,39,1,0,38,2,0
41,42,15.91200729030621,83.77361345754947,4,40,1,0,40,1,0,39,2,0
42,43,15.91200729030621,83.77361345754947,4,41,1,0,41,1,0,40,2,0
43,44,15.91200729030621,83.77361345754947,4,42,1,0,42,1,0,41,2,0
44,45,15.91200729030621,83.77361345754947,4,43,1,0,43,1,0,42,2,0
45,46,15.91200729030621,83.77361345754947,4,44,1,0,44,1,0,43,2,0
46,47,15.91200729030621,83.77361345754947,4,45,1,0,45,1,0,44,2,0
47,48,15.91200729030621,83.77361345754947,4,46,1,0,46,1,0,45,2,0
48,49,15.91200729030621,83.77361345754947,4,47,1,0,47,1,0,46,2,0
49,50,15.91200729030621,83.77361345754947,4,48,1,0,48,1,0,47,2,0
50,51,15.91200729030621,83.77361345754947,4,49,1,0,49,1,0,48,2,0
51,52,15.91200729030621,83.77361345754947,4,50,1,0,50,1,0,49,2,0
52,53,15.91200729030621,83.77361345754947,4,51,1,0,51,1,0,50,2,0
53,54,15.91200729030621,83.77361345754947,4,52,1,0,52,1,0,51,2,0
54,55,15.91200729030621,83.77361345754947,4,53,1,0,53,1,0,52,2,0
