,Time step,RMSE,Average variance,Number of cells sampled,"Robot (83, 20) distance travelled","Robot (83, 20) idle time","Robot (83, 20) waiting time","Robot (138, 13) distance travelled","Robot (138, 13) idle time","Robot (138, 13) waiting time","Robot (10, 12) distance travelled","Robot (10, 12) idle time","Robot (10, 12) waiting time"
0,1,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0
1,2,17.7284920416518,274.4774028419411,3,0,1,0,0,1,0,0,1,0
2,3,17.7284920416518,274.4774028419411,3,1,1,0,1,1,0,1,1,0
3,4,18.347759329381876,216.49761184128585,4,1,2,0,2,1,0,2,1,0
4,5,18.347759329381876,216.49761184128585,4,2,2,0,3,1,0,3,1,0
5,6,12.922859453386765,206.47754501913505,5,3,2,0,4,1,0,3,2,0
6,7,12.922859453386765,206.47754501913505,5,4,2,0,5,1,0,4,2,0
7,8,12.922859453386765,206.47754501913505,5,5,2,0,6,1,0,5,2,0
8,9,12.922859453386765,206.47754501913505,5,6,2,0,7,1,0,6,2,0
9,10,12.922859453386765,206.47754501913505,5,7,2,0,8,1,0,7,2,0
10,11,12.922859453386765,206.47754501913505,5,8,2,0,9,1,0,8,2,0
11,12,12.922859453386765,206.47754501913505,5,9,2,0,10,1,0,9,2,0
12,13,12.922859453386765,206.47754501913505,5,10,2,0,11,1,0,10,2,0
13,14,12.922859453386765,206.47754501913505,5,11,2,0,12,1,0,11,2,0
14,15,12.922859453386765,206.47754501913505,5,12,2,0,13,1,0,12,2,0
15,16,12.922859453386765,206.47754501913505,5,13,2,0,14,1,0,13,2,0
16,17,12.922859453386765,206.47754501913505,5,14,2,0,15,1,0,14,2,0
17,18,12.922859453386765,206.47754501913505,5,15,2,0,16,1,0,15,2,0
18,19,12.922859453386765,206.47754501913505,5,16,2,0,17,1,0,16,2,0
19,20,12.922859453386765,206.47754501913505,5,17,2,0,18,1,0,17,2,0
20,21,12.922859453386765,206.47754501913505,5,18,2,0,19,1,0,18,2,0
21,22,12.922859453386765,206.47754501913505,5,19,2,0,20,1,0,19,2,0
22,23,12.922859453386765,206.47754501913505,5,20,2,0,21,1,0,20,2,0
23,24,12.922859453386765,206.47754501913505,5,21,2,0,22,1,0,21,2,0
24,25,12.922859453386765,206.47754501913505,5,22,2,0,23,1,0,22,2,0
25,26,12.922859453386765,206.47754501913505,5,23,2,0,24,1,0,23,2,0
26,27,12.922859453386765,206.47754501913505,5,24,2,0,25,1,0,24,2,0
27,28,12.922859453386765,206.47754501913505,5,25,2,0,26,1,0,25,2,0
28,29,12.922859453386765,206.47754501913505,5,26,2,0,27,1,0,26,2,0
29,30,12.922859453386765,206.47754501913505,5,27,2,0,28,1,0,27,2,0
30,31,12.922859453386765,206.47754501913505,5,28,2,0,29,1,0,28,2,0
31,32,12.922859453386765,206.47754501913505,5,29,2,0,30,1,0,29,2,0
32,33,12.922859453386765,206.47754501913505,5,30,2,0,31,1,0,30,2,0
33,34,12.922859453386765,206.47754501913505,5,31,2,0,32,1,0,31,2,0
34,35,12.922859453386765,206.47754501913505,5,32,2,0,33,1,0,32,2,0
35,36,12.922859453386765,206.47754501913505,5,33,2,0,34,1,0,33,2,0
36,37,12.922859453386765,206.47754501913505,5,34,2,0,35,1,0,34,2,0
37,38,12.922859453386765,206.47754501913505,5,35,2,0,36,1,0,35,2,0
38,39,12.922859453386765,206.47754501913505,5,36,2,0,37,1,0,36,2,0
39,40,12.922859453386765,206.47754501913505,5,37,2,0,38,1,0,37,2,0
40,41,12.922859453386765,206.47754501913505,5,38,2,0,39,1,0,38,2,0
41,42,12.922859453386765,206.47754501913505,5,39,2,0,40,1,0,39,2,0
42,43,12.922859453386765,206.47754501913505,5,40,2,0,41,1,0,40,2,0
43,44,12.922859453386765,206.47754501913505,5,41,2,0,42,1,0,41,2,0
44,45,12.922859453386765,206.47754501913505,5,42,2,0,43,1,0,42,2,0
45,46,12.922859453386765,206.47754501913505,5,43,2,0,44,1,0,43,2,0
46,47,12.922859453386765,206.47754501913505,5,44,2,0,45,1,0,44,2,0
47,48,12.922859453386765,206.47754501913505,5,45,2,0,46,1,0,45,2,0
48,49,12.922859453386765,206.47754501913505,5,46,2,0,47,1,0,46,2,0
49,50,12.922859453386765,206.47754501913505,5,47,2,0,48,1,0,47,2,0
50,51,12.922859453386765,206.47754501913505,5,48,2,0,49,1,0,48,2,0
51,52,12.922859453386765,206.47754501913505,5,49,2,0,50,1,0,49,2,0
52,53,12.922859453386765,206.47754501913505,5,50,2,0,51,1,0,50,2,0
53,54,12.922859453386765,206.47754501913505,5,51,2,0,52,1,0,51,2,0
54,55,12.922859453386765,206.47754501913505,5,52,2,0,53,1,0,52,2,0
55,56,12.922859453386765,206.47754501913505,5,53,2,0,54,1,0,53,2,0
